search_keyword,keyword,target_sub_category,pattern_type,priority
tele,7 jours,📰 Magazine Télé,accessory,1
tele,poche,📰 Magazine Télé,accessory,1
tele,loisirs,📰 Magazine Télé,accessory,1
tele,magazine,📰 Magazine Télé,accessory,1
tele,revue,📰 Magazine Télé,accessory,1
tele,journal,📰 Magazine Télé,accessory,1
tele,hebdo,📰 Magazine Télé,accessory,1
tele,star,📰 Magazine Télé,accessory,1
tele,pélerin,📰 Magazine Télé,accessory,1
tele,pelerin,📰 Magazine Télé,accessory,1
tele,super télé,📰 Magazine Télé,accessory,1
tele,super tele,📰 Magazine Télé,accessory,1
wii,7 jeux,💿 Jeu Vidéo,game,1
wii,maboul,💿 Jeu Vidéo,game,1
ps5,anno 1800,💿 Jeu Vidéo,game,1
ps5,planet coaster,💿 Jeu Vidéo,game,1
ps5,planet zoo,💿 Jeu Vidéo,game,1
ps5,telecomande,🎮 Accessoire Console,accessory,1
ps5,télécommande,🎮 Accessoire Console,accessory,1
smartphone,chargeur,🔌 Accessoire Smartphone,accessory,1
smartphone,charger,🔌 Accessoire Smartphone,accessory,1
smartphone,color skin,🔌 Accessoire Smartphone,accessory,1
smartphone,120w,🔌 Accessoire Smartphone,accessory,1
iphone,100% officiel,🕹️ Console PSP,main,1
smartphone,ps one,🕹️ Console PS1,main,1
smartphone,psone,🕹️ Console PS1,main,1
smartphone,vtech,🧸 Jouet Enfant / Console,main,1
smartphone,fp,🕹️ Console Enfant,main,1
smartphone,thomson mo6,💻 Ordinateur Vintage,main,1
smartphone,decodeur,🔌 Accessoire / Pièce détachée TV,accessory,1
smartphone,décodeur,🔌 Accessoire / Pièce détachée TV,accessory,1
smartphone,televiseur,📺 Téléviseur,main,1
smartphone,téléviseur,📺 Téléviseur,main,1
smartphone,télé sony,📺 Téléviseur,main,1
smartphone,tele sony,📺 Téléviseur,main,1
tele,laser,🛠️ Outillage,accessory,1
tele,telemetre,🛠️ Outillage,accessory,1
tele,télémètre,🛠️ Outillage,accessory,1
tele,ampli,🔊 Audio / Home Cinéma,accessory,1
tele,meuble tv,🪑 Meuble TV,accessory,1
tele,meuble,🪑 Meuble TV,accessory,1
tele,bureau,🪑 Meuble TV,accessory,1
tele,bois,🪑 Meuble TV,accessory,1
tele,cannage,🪑 Meuble TV,accessory,1
tele,teck,🪑 Meuble TV,accessory,1
tele,salon,🪑 Meuble TV,accessory,1
tele,design,🪑 Meuble TV,accessory,1
tele,entrée,🪑 Meuble TV,accessory,1
tele,coiffeuse,🪑 Meuble TV,accessory,1
tele,console meuble,🪑 Meuble TV,accessory,1
tele,bureau design,🪑 Meuble TV,accessory,1
tele,secrétaire,🪑 Meuble TV,accessory,1
tele,reparation,📦 Annonce Divers,autre,1
tele,pochette,🎮 Accessoire Console,accessory,1
tele,telecaster,🎸 Instrument Musique,autre,1
tele,telefunken,📦 Électroménager / Audio,autre,1
tele,teleconverter,📸 Accessoire Camera,accessory,1
tele,teleport,🎸 Instrument Musique,autre,1
wii,jeu,💿 Jeu Vidéo,game,1
ps5,jeu,💿 Jeu Vidéo,game,1
ps4,jeu,💿 Jeu Vidéo,game,1
XBOX,jeu,💿 Jeu Vidéo,game,1
xbox360,jeu,💿 Jeu Vidéo,game,1
playstation,jeu,💿 Jeu Vidéo,game,1
wii,manette,🎮 Accessoire Console,accessory,1
ps5,manette,🎮 Accessoire Console,accessory,1
xbox,manette,🎮 Accessoire Console,accessory,1
switch,manette,🎮 Accessoire Console,accessory,1
ps5,casque,🎮 Accessoire Console,accessory,1
ps5,chargeur,🎮 Accessoire Console,accessory,1
ps5,volant,🎮 Accessoire Console,accessory,1
xbox,jeu,💿 Jeu Vidéo,software,1
switch,jeu,💿 Jeu Vidéo,software,1
smartphone,support,🔌 Accessoire Smartphone,accessory,1
smartphone,étui,🔌 Accessoire Smartphone,accessory,1
smartphone,coque,🔌 Accessoire Smartphone,accessory,1
smartphone,câble,🔌 Accessoire Smartphone,accessory,1
smartphone,protection,🔌 Accessoire Smartphone,accessory,1
smartphone,verre,🔌 Accessoire Smartphone,accessory,1
smartphone,écran,🔌 Accessoire Smartphone,accessory,1
smartphone,vitre,🔌 Accessoire Smartphone,accessory,1
smartphone,brassard,🔌 Accessoire Smartphone,accessory,1
smartphone,objectif,🔌 Accessoire Smartphone,accessory,1
smartphone,lentille,🔌 Accessoire Smartphone,accessory,1
smartphone,enceinte,🔊 Audio / Home Cinéma,accessory,1
smartphone,batterie,🔌 Accessoire Smartphone,accessory,1
smartphone,powerbank,🔌 Accessoire Smartphone,accessory,1
smartphone,pistolet,🎮 Accessoire Gaming,accessory,1
smartphone,battletron,🎮 Accessoire Gaming,accessory,1
smartphone,contrôleur,🎮 Accessoire Gaming,accessory,1
